n,q,p_in,p_out,1,2,3,4,5
200,2,0.1,0.0101010101010101,0.75,0.9,0.505,0.55,0.63
200,2,0.2,0.0101010101010101,0.55,0.88,0.53,0.61,0.51
200,2,0.3,0.0101010101010101,0.52,0.905,0.57,0.93,0.955
200,2,0.4,0.0101010101010101,0.53,0.5,0.925,0.945,0.565
200,2,0.5,0.0101010101010101,0.54,0.515,0.935,0.51,0.5
200,2,0.6,0.0101010101010101,0.54,0.5,0.925,0.53,0.51
200,2,0.7,0.0101010101010101,0.5,0.52,0.53,0.515,0.945
200,2,0.8,0.0101010101010101,0.92,0.555,0.52,0.525,0.935
200,2,0.9,0.0101010101010101,0.525,0.535,0.93,0.535,0.53
200,2,1.0,0.0101010101010101,0.925,0.92,0.55,0.935,0.91
200,2,1.0,0.9898989898989898,0.505,0.535,0.54,0.57,0.53
300,3,0.1,0.0101010101010101,0.4333,0.3467,0.4133,0.4367,0.5067
300,3,0.2,0.0101010101010101,0.39,0.55,0.6167,0.3867,0.41
300,3,0.3,0.0101010101010101,0.3733,0.4267,0.4533,0.4633,0.36
300,3,0.4,0.0101010101010101,0.3767,0.4033,0.4267,0.3633,0.38
300,3,0.5,0.0101010101010101,0.44,0.3933,0.36,0.4833,0.58
300,3,0.6,0.0101010101010101,0.47,0.3667,0.5033,0.3467,0.5033
300,3,0.7,0.0101010101010101,0.3767,0.3533,0.36,0.3667,0.42
300,3,0.8,0.0101010101010101,0.49,0.36,0.3667,0.35,0.3667
300,3,0.9,0.0101010101010101,0.3967,0.3633,0.36,0.3767,0.4633
300,3,1.0,0.0101010101010101,0.3633,0.3733,0.3667,0.3567,0.3733
300,3,1.0,0.9898989898989898,0.37,0.3733,0.3933,0.35,0.37
400,4,0.1,0.0101010101010101,0.3125,0.3175,0.315,0.31,0.305
400,4,0.2,0.0101010101010101,0.3025,0.275,0.3,0.3125,0.305
400,4,0.3,0.0101010101010101,0.32,0.325,0.295,0.28,0.285
400,4,0.4,0.0101010101010101,0.2925,0.29,0.2875,0.2825,0.3075
400,4,0.5,0.0101010101010101,0.285,0.2925,0.2925,0.305,0.315
400,4,0.6,0.0101010101010101,0.2875,0.31,0.305,0.2875,0.28
400,4,0.7,0.0101010101010101,0.29,0.295,0.3075,0.29,0.2925
400,4,0.8,0.0101010101010101,0.275,0.3075,0.2825,0.315,0.2925
400,4,0.9,0.0101010101010101,0.28,0.2875,0.29,0.2875,0.2975
400,4,1.0,0.0101010101010101,0.29,0.3075,0.3,0.2975,0.325
500,5,0.1,0.0101010101010101,0.252,0.25,0.24,0.246,0.27
500,5,0.2,0.0101010101010101,0.254,0.232,0.232,0.236,0.236
500,5,0.3,0.0101010101010101,0.244,0.238,0.232,0.24,0.24
500,5,0.4,0.0101010101010101,0.226,0.242,0.244,0.238,0.242
500,5,0.5,0.0101010101010101,0.268,0.244,0.238,0.242,0.244
500,5,0.6,0.0101010101010101,0.252,0.24,0.238,0.236,0.23
500,5,0.7,0.0101010101010101,0.24,0.24,0.254,0.234,0.242
500,5,0.8,0.0101010101010101,0.244,0.234,0.228,0.244,0.238
500,5,0.9,0.0101010101010101,0.242,0.238,0.24,0.244,0.24
500,5,1.0,0.0101010101010101,0.238,0.244,0.238,0.248,0.248
200,2,0.1,0.0202020202020202,0.525,0.65,0.525,0.55,0.635
200,2,0.2,0.0202020202020202,0.55,0.53,0.92,0.52,0.875
200,2,0.3,0.0202020202020202,0.545,0.515,0.87,0.62,0.93
200,2,0.4,0.0202020202020202,0.92,0.945,0.51,0.94,0.55
200,2,0.5,0.0202020202020202,0.94,0.55,0.51,0.955,0.51
200,2,0.6,0.0202020202020202,0.515,0.525,0.95,0.505,0.94
200,2,0.7,0.0202020202020202,0.95,0.935,0.53,0.515,0.925
200,2,0.8,0.0202020202020202,0.935,0.525,0.96,0.945,0.555
200,2,0.9,0.0202020202020202,0.93,0.93,0.52,0.505,0.925
200,2,1.0,0.0202020202020202,0.91,0.935,0.915,0.54,0.545
300,3,0.1,0.0202020202020202,0.44,0.3633,0.4,0.4433,0.43
300,3,0.2,0.0202020202020202,0.4467,0.4767,0.4833,0.4367,0.46
300,3,0.3,0.0202020202020202,0.4267,0.37,0.3533,0.4833,0.4367
300,3,0.4,0.0202020202020202,0.37,0.3667,0.38,0.37,0.4567
300,3,0.5,0.0202020202020202,0.3467,0.37,0.3833,0.3667,0.57
300,3,0.6,0.0202020202020202,0.4433,0.3733,0.35,0.3567,0.3867
300,3,0.7,0.0202020202020202,0.3833,0.37,0.37,0.3767,0.35
300,3,0.8,0.0202020202020202,0.3767,0.3667,0.3833,0.38,0.3867
300,3,0.9,0.0202020202020202,0.4067,0.3467,0.3633,0.38,0.3667
300,3,1.0,0.0202020202020202,0.3733,0.3833,0.3633,0.3633,0.3567
